tenant_id,severity,summary,agent_name,pageKey,test_category,route,recommended_fix,resolved_at,actual_result,details,page,screenshot_url,timestamp,expected_result,status,resolved,id,created_date,updated_date,created_by_id,created_by,is_sample
"","critical","QA Sentinel JSON export created","Operational Tester","","QA Sentinel Export","/platform/admin/qa-sentinel","Review exported QA Sentinel findings and resolve open issues.","","Exported 13 issues as JSON with checksum fnv1a-4496e145.","Export ID: qa-export-1780674581748. Included 13 issues, 13 critical, 0 major, and 0 regressions.","QA Sentinel","","2026-06-05T15:49:41.748Z","QA Sentinel export is downloadable and recorded in tester feedback audit history.","WARNING","false","6a22f016e1976df0393f6fb4","2026-06-05T15:49:42.981000","2026-06-05T15:49:42.981000","6a18e96a24bf4a37b9c28ed4","dinesh_santher@yahoo.com.my","false"
"","high","QA Sentinel MARKDOWN export created","Operational Tester","","QA Sentinel Export","/platform/admin/qa-sentinel","Review exported QA Sentinel findings and resolve open issues.","","Exported 38 issues as MARKDOWN with checksum fnv1a-32cc64e4.","Export ID: qa-export-1780550898085. Included 38 issues, 0 critical, 38 major, and 0 regressions.","QA Sentinel","","2026-06-04T05:28:18.085Z","QA Sentinel export is downloadable and recorded in tester feedback audit history.","WARNING","false","6a210cf3f555cee00ea54274","2026-06-04T05:28:19.156000","2026-06-04T05:28:19.156000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","high","QA Sentinel TXT export created","Operational Tester","","QA Sentinel Export","/platform/admin/qa-sentinel","Review exported QA Sentinel findings and resolve open issues.","","Exported 38 issues as TXT with checksum fnv1a-96956776.","Export ID: qa-export-1780550895837. Included 38 issues, 0 critical, 38 major, and 0 regressions.","QA Sentinel","","2026-06-04T05:28:15.837Z","QA Sentinel export is downloadable and recorded in tester feedback audit history.","WARNING","false","6a210cf076fc98be80afbf04","2026-06-04T05:28:16.913000","2026-06-04T05:28:16.913000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","high","QA Sentinel JSON export created","Operational Tester","","QA Sentinel Export","/platform/admin/qa-sentinel","Review exported QA Sentinel findings and resolve open issues.","","Exported 38 issues as JSON with checksum fnv1a-43016cd4.","Export ID: qa-export-1780550892468. Included 38 issues, 0 critical, 38 major, and 0 regressions.","QA Sentinel","","2026-06-04T05:28:12.468Z","QA Sentinel export is downloadable and recorded in tester feedback audit history.","WARNING","false","6a210cee0f4b349b6479497e","2026-06-04T05:28:14.039000","2026-06-04T05:28:14.039000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","medium","Unable to test accessibility controls.","Visitor Tester","","Accessibility Controls","","Provide the museum's public website URL and/or enable interactive browsing and accessibility testing tools.","","Cannot test accessibility controls without a target URL or interactive browsing capabilities and accessibility testing tools.","","","","2026-06-04T00:10:00Z","","NOT_RUN","false","6a20c26ff1d414b8b354029d","2026-06-04T00:10:23.215000","2026-06-04T00:10:23.215000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","medium","Unable to test mobile viewport expectations.","Visitor Tester","","Mobile Viewport Expectations","","Provide the museum's public website URL and/or enable interactive browsing and device emulation tools.","","Cannot test mobile viewport expectations without a target URL or interactive browsing capabilities and device emulation.","","","","2026-06-04T00:10:00Z","","NOT_RUN","false","6a20c26ff1d414b8b354029c","2026-06-04T00:10:23.211000","2026-06-04T00:10:23.211000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","medium","Unable to test walkthrough flow.","Visitor Tester","","Walkthrough Flow","","Provide the museum's public website URL and/or enable interactive browsing tools.","","Cannot test walkthrough flow without a target URL or interactive browsing capabilities.","","","","2026-06-04T00:10:00Z","","NOT_RUN","false","6a20c26ff1d414b8b354029b","2026-06-04T00:10:23.209000","2026-06-04T00:10:23.209000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","medium","Unable to test onboarding flow.","Visitor Tester","","Onboarding Flow","","Provide the museum's public website URL and/or enable interactive browsing tools.","","Cannot test onboarding flow without a target URL or interactive browsing capabilities.","","","","2026-06-04T00:10:00Z","","NOT_RUN","false","6a20c26ff1d414b8b354029a","2026-06-04T00:10:23.202000","2026-06-04T00:10:23.202000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","medium","Unable to test Call-to-Action (CTA) behavior.","Visitor Tester","","CTA Behavior","","Provide the museum's public website URL and/or enable interactive browsing tools.","","Cannot test CTA behavior without a target URL or interactive browsing capabilities.","","","","2026-06-04T00:10:00Z","","NOT_RUN","false","6a20c26ff1d414b8b3540299","2026-06-04T00:10:23.200000","2026-06-04T00:10:23.200000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
"","medium","Unable to perform route crawl test due to missing museum website URL.","Visitor Tester","","Route Crawl","N/A","Provide the museum's public website URL, either by updating the MuseumTenant schema to include 'websiteUrl' and populating it, or by specifying a base URL in the test instructions.","","Attempted to read MuseumTenant entities for a website URL, but no 'websiteUrl' field was found in any tenant record.","","","","2026-06-04T00:10:00Z","","NOT_RUN","false","6a20c269f1d414b8b3540297","2026-06-04T00:10:17.837000","2026-06-04T00:10:17.837000","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
