tenant_id,summary,tenant_name,media_references,historical_significance,image_url,ai_guide_context,description,engagement_count,long_description,title,tags,station_number,related_exhibits,audio_url,narrative_text,category,is_featured,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"6a220da4b282e8b27dbefda9","The Red Stage Curtain is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-017""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain The Red Stage Curtain using approved museum context and avoid unsupported production claims.","The Red Stage Curtain introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","73","The Red Stage Curtain connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","The Red Stage Curtain","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","17","[""Mulan’s Battlefield Journey"",""Opera Masks of Transformation"",""The Red Stage Curtain"",""Instruments of the Opera Pit"",""Costumes as Living Memory""]","","Observe The Red Stage Curtain. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","cultural_heritage","false","published","6a220da8ceb02abbc46c6257","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Women Who Crossed Boundaries is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-021""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain Women Who Crossed Boundaries using approved museum context and avoid unsupported production claims.","Women Who Crossed Boundaries introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","85","Women Who Crossed Boundaries connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","Women Who Crossed Boundaries","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","21","[""Costumes as Living Memory"",""The Scholar Warrior Archetype"",""Women Who Crossed Boundaries"",""The Dragon Motif"",""Lanterns and Night Performance""]","","Observe Women Who Crossed Boundaries. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","music_instruments","false","published","6a220da8ceb02abbc46c625b","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","The Dragon Motif is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-022""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain The Dragon Motif using approved museum context and avoid unsupported production claims.","The Dragon Motif introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","88","The Dragon Motif connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","The Dragon Motif","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","22","[""The Scholar Warrior Archetype"",""Women Who Crossed Boundaries"",""The Dragon Motif"",""Lanterns and Night Performance"",""Tactile Table of Kingdoms""]","","Observe The Dragon Motif. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","stage_design","false","published","6a220da8ceb02abbc46c625c","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AR Artefact Discovery Wall is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-026""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain AR Artefact Discovery Wall using approved museum context and avoid unsupported production claims.","AR Artefact Discovery Wall introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","100","AR Artefact Discovery Wall connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","AR Artefact Discovery Wall","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","26","[""Tactile Table of Kingdoms"",""LED Sea of Origins"",""AR Artefact Discovery Wall"",""VR Palace Trial"",""Children’s Myth Hunt""]","","Observe AR Artefact Discovery Wall. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","costume_art","false","published","6a220da8ceb02abbc46c6260","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","LED Sea of Origins is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-025""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain LED Sea of Origins using approved museum context and avoid unsupported production claims.","LED Sea of Origins introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","97","LED Sea of Origins connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","LED Sea of Origins","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","25","[""Lanterns and Night Performance"",""Tactile Table of Kingdoms"",""LED Sea of Origins"",""AR Artefact Discovery Wall"",""VR Palace Trial""]","","Observe LED Sea of Origins. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","opera_tradition","false","published","6a220da8ceb02abbc46c625f","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Lanterns and Night Performance is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-023""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain Lanterns and Night Performance using approved museum context and avoid unsupported production claims.","Lanterns and Night Performance introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","91","Lanterns and Night Performance connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","Lanterns and Night Performance","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","23","[""Women Who Crossed Boundaries"",""The Dragon Motif"",""Lanterns and Night Performance"",""Tactile Table of Kingdoms"",""LED Sea of Origins""]","","Observe Lanterns and Night Performance. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","cultural_heritage","false","published","6a220da8ceb02abbc46c625d","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Children’s Myth Hunt is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-028""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain Children’s Myth Hunt using approved museum context and avoid unsupported production claims.","Children’s Myth Hunt introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","106","Children’s Myth Hunt connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","Children’s Myth Hunt","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","28","[""AR Artefact Discovery Wall"",""VR Palace Trial"",""Children’s Myth Hunt"",""Multilingual Story Guide"",""Future Museum Command Centre""]","","Observe Children’s Myth Hunt. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","stage_design","false","published","6a220da8ceb02abbc46c6262","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Costumes as Living Memory is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-019""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain Costumes as Living Memory using approved museum context and avoid unsupported production claims.","Costumes as Living Memory introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","79","Costumes as Living Memory connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","Costumes as Living Memory","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","19","[""The Red Stage Curtain"",""Instruments of the Opera Pit"",""Costumes as Living Memory"",""The Scholar Warrior Archetype"",""Women Who Crossed Boundaries""]","","Observe Costumes as Living Memory. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","opera_tradition","false","published","6a220da8ceb02abbc46c6259","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","The Scholar Warrior Archetype is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-020""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain The Scholar Warrior Archetype using approved museum context and avoid unsupported production claims.","The Scholar Warrior Archetype introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","82","The Scholar Warrior Archetype connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","The Scholar Warrior Archetype","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","20","[""Instruments of the Opera Pit"",""Costumes as Living Memory"",""The Scholar Warrior Archetype"",""Women Who Crossed Boundaries"",""The Dragon Motif""]","","Observe The Scholar Warrior Archetype. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","costume_art","false","published","6a220da8ceb02abbc46c625a","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Future Museum Command Centre is a seeded MOA exhibit for the Asia Operatic Museum demo ecosystem.","Asia Operatic Museum Singapore","[""aom-media-030""]","This exhibit supports the MOA pilot by connecting cultural narrative, digital interpretation, visitor education, and platform readiness.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","ARIA may explain Future Museum Command Centre using approved museum context and avoid unsupported production claims.","Future Museum Command Centre introduces visitors to cultural story, performance memory, XR interpretation, and learning prompts in a museum-safe way.","112","Future Museum Command Centre connects historical imagination, performance heritage, visitor learning, accessibility, and demo-ready XR storytelling. The record is intentionally marked as seeded demo content and should be replaced or reviewed by curators before production deployment.","Future Museum Command Centre","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""moa"",""demo"",""learning""]","30","[""Children’s Myth Hunt"",""Multilingual Story Guide"",""Future Museum Command Centre""]","","Observe Future Museum Command Centre. What does it reveal about courage, memory, leadership, theatre, or cultural identity?","interactive","false","published","6a220da8ceb02abbc46c6264","2026-06-04T23:43:36.785000","2026-06-04T23:43:36.785000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
